task1.time	task1.S1	task1.S2	task2.S1	task2.S2	task3.S1	task3.S2
0.0	10.0	0.0	10.0	14.0	20.0	14.0
0.1	9.52184087417	0.47815912583	10.0573041459	13.9426958541	19.5793580329	14.4206419671
0.2	9.084841243	0.915158756997	10.1097975579	13.8902024421	19.1946639739	14.8053360261
0.3	8.68546298772	1.31453701228	10.1578039617	13.8421960383	18.8431497424	15.1568502576
0.4	8.32045573963	1.67954426037	10.201678265	13.798321735	18.5219538727	15.4780461273
0.5	7.98685417416	2.01314582584	10.2417531919	13.7582468081	18.2284503036	15.7715496964
0.6	7.68196030648	2.31803969352	10.2783522327	13.7216477673	17.9602448178	16.0397551822
0.7	7.40330881889	2.59669118111	10.3117742935	13.6882257065	17.7151164792	16.2848835208
0.8	7.14864001664	2.85135998336	10.3423080104	13.6576919896	17.4910698475	16.5089301525
0.9	6.91588792562	3.08411207438	10.3702123649	13.6297876351	17.2862941291	16.7137058709
1.0	6.70316678962	3.29683321038	10.3957160803	13.6042839197	17.0991345643	16.9008654357
1.1	6.50875385233	3.49124614767	10.4190250078	13.5809749922	16.9280775561	17.0719224439
1.2	6.33107433003	3.66892566997	10.4403221684	13.5596778316	16.7717387477	17.2282612523
1.3	6.16868223651	3.83131776349	10.4597874885	13.5402125115	16.6288569085	17.3711430915
1.4	6.02026879083	3.97973120917	10.4775768885	13.5224231115	16.4982698516	17.5017301484
1.5	5.88461986632	4.11538013368	10.4938368469	13.5061631531	16.3789165605	17.6210834395
1.6	5.76064957025	4.23935042975	10.5087046988	13.4912953012	16.2698400863	17.7301599137
1.7	5.64734859588	4.35265140412	10.5222956065	13.4777043935	16.1701596953	17.8298403047
1.8	5.5438072305	4.4561927695	10.5347220793	13.4652779207	16.0790544419	17.9209455581
1.9	5.44918232182	4.55081767818	10.5460824504	13.4539175496	15.9957741881	18.0042258119
2.0	5.36270787624	4.63729212376	10.5564688428	13.4435311572	15.9196495837	18.0803504163
2.1	5.2836779762	4.7163220238	10.5659790313	13.4340209687	15.8500615534	18.1499384466
2.2	5.21145262418	4.78854737582	10.574677301	13.425322699	15.7864488689	18.2135511311
2.3	5.14544141582	4.85455858418	10.5826214829	13.4173785171	15.7283118116	18.2716881884
2.4	5.08511061594	4.91488938406	10.5898827964	13.4101172036	15.6751734172	18.3248265828
2.5	5.02997058196	4.97002941804	10.5965480306	13.4034519694	15.6266146205	18.3733853795
2.6	4.97957548739	5.02042451261	10.6026383982	13.3973616018	15.5822360553	18.4177639447
2.7	4.9335187389	5.0664812611	10.6081876696	13.3918123304	15.5416802606	18.4583197394
2.8	4.89142926621	5.10857073379	10.613254022	13.386745978	15.5046170888	18.4953829112
2.9	4.85296440553	5.14703559447	10.6179047113	13.3820952887	15.4707431303	18.5292568697
3.0	4.81781074686	5.18218925314	10.6221477904	13.3778522096	15.43978659	18.56021341
3.1	4.78569664608	5.21430335392	10.6260080624	13.3739919376	15.4114923623	18.5885076377
3.2	4.75634966214	5.24365033786	10.6295301494	13.3704698506	15.3856329755	18.6143670245
3.3	4.72951912776	5.27048087224	10.6327571386	13.3672428614	15.361984762	18.638015238
3.4	4.70501222321	5.29498777679	10.6356997803	13.3643002197	15.3403620974	18.6596379026
3.5	4.68261961308	5.31738038692	10.6383785927	13.3616214073	15.3206028088	18.6793971912
3.6	4.66214493391	5.33785506609	10.6408239899	13.3591760101	15.3025352973	18.6974647027
3.7	4.64342723299	5.35657276701	10.6430611726	13.3569388274	15.2859834335	18.7140165665
3.8	4.62633224498	5.37366775502	10.6451026692	13.3548973308	15.2708518546	18.7291481454
3.9	4.61070741336	5.38929258664	10.6469639245	13.3530360755	15.257048377	18.742951623
4.0	4.59642308025	5.40357691975	10.6486651379	13.3513348621	15.2444237191	18.7555762809
4.1	4.58337115865	5.41662884135	10.6502214746	13.3497785254	15.2328622227	18.7671377773
4.2	4.57143884038	5.42856115962	10.6516427882	13.3483572118	15.2223098147	18.7776901853
4.3	4.56052461814	5.43947538186	10.6529392049	13.3470607951	15.212701465	18.787298535
4.4	4.55054936008	5.44945063992	10.6541258137	13.3458741863	15.2039212515	18.7960787485
4.5	4.54143249704	5.45856750296	10.6552119182	13.3447880818	15.1959048824	18.8040951176
4.6	4.53309758223	5.46690241777	10.6562037098	13.3437962902	15.1885928866	18.8114071134
4.7	4.5254779133	5.4745220867	10.6571074454	13.3428925546	15.1819211048	18.8180788952
4.8	4.51851420096	5.48148579904	10.6579355453	13.3420644547	15.1758420859	18.8241579141
4.9	4.51214790422	5.48785209578	10.6586933481	13.3413066519	15.1702946275	18.8297053725
5.0	4.50632603281	5.49367396719	10.6593848413	13.3406151587	15.1652235652	18.8347764348
5.1	4.50100783557	5.49899216443	10.6600141587	13.3399858413	15.1605793397	18.8394206603
5.2	4.49614708858	5.50385291142	10.6605911183	13.3394088817	15.1563477831	18.8436522169
5.3	4.49170327181	5.50829672819	10.661118602	13.338881398	15.1524768623	18.8475231377
5.4	4.48764248792	5.51235751208	10.6615996736	13.3384003264	15.1489312499	18.8510687501
5.5	4.48393193239	5.51606806761	10.662037358	13.337962642	15.1456819407	18.8543180593
5.6	4.48053952696	5.51946047304	10.6624386635	13.3375613365	15.1427102529	18.8572897471
5.7	4.4774376686	5.5225623314	10.6628052482	13.3371947518	15.1399899577	18.8600100423
5.8	4.47460406557	5.52539593443	10.663139604	13.336860396	15.1375021619	18.8624978381
5.9	4.47201364085	5.52798635915	10.6634439934	13.3365560066	15.1352266604	18.8647733396
6.0	4.46964459209	5.53035540791	10.6637231073	13.3362768927	15.1331436885	18.8668563115
6.1	4.46747997614	5.53252002386	10.6639780122	13.3360219878	15.1312407505	18.8687592495
6.2	4.46550105828	5.53449894172	10.6642105871	13.3357894129	15.1295044875	18.8704955125
6.3	4.46369142976	5.53630857024	10.6644224999	13.3355775001	15.1279200272	18.8720799728
6.4	4.46203712911	5.53796287089	10.6646168258	13.3353831742	15.126473933	18.873526067
6.5	4.46052519866	5.53947480134	10.6647943451	13.3352056549	15.1251540289	18.8748459711
6.6	4.45914294798	5.54085705202	10.6649563236	13.3350436764	15.1239472561	18.8760527439
6.7	4.45787921975	5.54212078025	10.6651040767	13.3348959233	15.1228485159	18.8771514841
6.8	4.45672450411	5.54327549589	10.66524076	13.33475924	15.1218461286	18.8781538714
6.9	4.4556690032	5.5443309968	10.6653662331	13.3346337669	15.1209290895	18.8790709105
7.0	4.45470387533	5.54529612467	10.6654812547	13.3345187453	15.120087285	18.879912715
7.1	4.45382223203	5.54617776797	10.6655863653	13.3344136347	15.1193205381	18.8806794619
7.2	4.4530164861	5.5469835139	10.6656818873	13.3343181127	15.1186185951	18.8813814049
7.3	4.45227983799	5.54772016201	10.6657679247	13.3342320753	15.1179753334	18.8820246666
7.4	4.45160654812	5.54839345188	10.6658492035	13.3341507965	15.1173854469	18.8826145531
7.5	4.45099140588	5.54900859412	10.6659246065	13.3340753935	15.1168453716	18.8831546284
7.6	4.45042903303	5.54957096697	10.665993665	13.334006335	15.1163508337	18.8836491663
7.7	4.4499147619	5.5500852381	10.6660564792	13.3339435208	15.1158987103	18.8841012897
7.8	4.44944492444	5.55055507556	10.6661129994	13.3338870006	15.1154830835	18.8845169165
7.9	4.44901539476	5.55098460524	10.6661630263	13.3338369737	15.115095781	18.884904219
8.0	4.44862257946	5.55137742054	10.6662091914	13.3337908086	15.1147380174	18.8852619826
8.1	4.44826389042	5.55173610958	10.666253193	13.333746807	15.1144081754	18.8855918246
8.2	4.44793626877	5.55206373123	10.6662932255	13.3337067745	15.1141053886	18.8858946114
8.3	4.44763691947	5.55236308053	10.6663293763	13.3336706237	15.1138295419	18.8861704581
8.4	4.44736321209	5.55263678791	10.66636166	13.33363834	15.1135812712	18.8864187288
8.5	4.44711257369	5.55288742631	10.6663900185	13.3336099815	15.1133619636	18.8866380364
8.6	4.44688447343	5.55311552657	10.6664150001	13.3335849999	15.1131417901	18.8868582099
8.7	4.44667653341	5.55332346659	10.666439147	13.333560853	15.1129342718	18.8870657282
8.8	4.44648659383	5.55351340617	10.6664609355	13.3335390645	15.112742969	18.887257031
8.9	4.44631273029	5.55368726971	10.6664805153	13.3335194847	15.1125684201	18.8874315799
9.0	4.44615296827	5.55384703173	10.6664980078	13.3335019922	15.1124116642	18.8875883358
9.1	4.44600787313	5.55399212687	10.6665135065	13.3334864935	15.112274241	18.887725759
9.2	4.44587578857	5.55412421143	10.6665270765	13.3334729235	15.112158191	18.887841809
9.3	4.44575497328	5.55424502672	10.6665397721	13.3334602279	15.1120537092	18.8879462908
9.4	4.44564412698	5.55435587302	10.6665512699	13.3334487301	15.1119423208	18.8880576792
9.5	4.44554191848	5.55445808152	10.6665616362	13.3334383638	15.111841182	18.888158818
9.6	4.4454488106	5.5545511894	10.6665709854	13.3334290146	15.1117504326	18.8882495674
9.7	4.44536394803	5.55463605197	10.6665794177	13.3334205823	15.1116704157	18.8883295843
9.8	4.44528615907	5.55471384093	10.6665870188	13.3334129812	15.111601678	18.888398322
9.9	4.44521472401	5.55478527599	10.6665934835	13.3334065165	15.1115449699	18.8884550301
10.0	4.44514894602	5.55485105398	10.6665989553	13.3334010447	15.1115012451	18.8884987549
