repeat1.time	repeat1.S1	repeat1.S2
0.0	1.0	0.0
0.1	0.952184164257	0.0478158357434
0.2	0.908483775946	0.0915162240536
0.3	0.868544286796	0.131455713204
0.4	0.83204224489	0.16795775511
0.5	0.798681845709	0.201318154291
0.6	0.768192564377	0.231807435623
0.7	0.740327496973	0.259672503027
0.8	0.714861001169	0.285138998831
0.9	0.691586610529	0.308413389471
1.0	0.67031574823	0.32968425177
1.1	0.65087587855	0.34912412145
1.2	0.633109853714	0.366890146286
1.3	0.61687266016	0.38312733984
1.4	0.602033698586	0.397966301414
1.5	0.588471494195	0.411528505805
1.6	0.576076648661	0.423923351339
1.7	0.56474803675	0.43525196325
1.8	0.554394287845	0.445605712155
1.9	0.544931378303	0.455068621697
2.0	0.536282827663	0.463717172337
2.1	0.528378620312	0.471621379688
2.2	0.521154733495	0.478845266505
2.3	0.514552689973	0.485447310027
2.4	0.508518832103	0.491481167897
2.5	0.503004390383	0.496995609617
2.6	0.497964453766	0.502035546234
2.7	0.493358304713	0.506641695287
2.8	0.489148505444	0.510851494556
2.9	0.485301031572	0.514698968428
3.0	0.481784662116	0.518215337884
3.1	0.478570953837	0.521429046163
3.2	0.475633948455	0.524366051545
3.3	0.472949965228	0.527050034772
3.4	0.470496964292	0.529503035708
3.5	0.468255480208	0.531744519792
3.6	0.466207148661	0.533792851339
3.7	0.46433462859	0.53566537141
3.8	0.462623948228	0.537376051772
3.9	0.461060555014	0.538939444986
4.0	0.459631456176	0.540368543824
4.1	0.458325613795	0.541674386205
4.2	0.457131956238	0.542868043762
4.3	0.45604067017	0.54395932983
4.4	0.455043373659	0.544956626341
4.5	0.454131726583	0.545868273417
4.6	0.453298377786	0.546701622214
4.7	0.452536717964	0.547463282036
4.8	0.451840492055	0.548159507945
4.9	0.451204149504	0.548795850496
5.0	0.450622608992	0.549377391008
5.1	0.4500910602	0.5499089398
5.2	0.449605316993	0.550394683007
5.3	0.449161413571	0.550838586429
5.4	0.448755626257	0.551244373743
5.5	0.448384856987	0.551615143013
5.6	0.448045977902	0.551954022098
5.7	0.44773618497	0.55226381503
5.8	0.447453089132	0.552546910868
5.9	0.447194317337	0.552805682663
6.0	0.4469577606	0.5530422394
6.1	0.446741567194	0.553258432806
6.2	0.446543949861	0.553456050139
6.3	0.44636331706	0.55363668294
6.4	0.446198236534	0.553801763466
6.5	0.446047346773	0.553952653227
6.6	0.445909488719	0.554090511281
6.7	0.445783582201	0.554216417799
6.8	0.445668559002	0.554331440998
6.9	0.445563423693	0.554436576307
7.0	0.445467244499	0.554532755501
7.1	0.445379685564	0.554620314436
7.2	0.445299745337	0.554700254663
7.3	0.445226678914	0.554773321086
7.4	0.445159739022	0.554840260978
7.5	0.445098551836	0.554901448164
7.6	0.445042904796	0.554957095204
7.7	0.444992026082	0.555007973918
7.8	0.444945404584	0.555054595416
7.9	0.444902526133	0.555097473867
8.0	0.444863498659	0.555136501341
8.1	0.444827815872	0.555172184128
8.2	0.444795125878	0.555204874122
8.3	0.444765135861	0.555234864139
8.4	0.444737622889	0.555262377111
8.5	0.444712497857	0.555287502143
8.6	0.444689493922	0.555310506078
8.7	0.444668438011	0.555331561989
8.8	0.444649171603	0.555350828397
8.9	0.444631556941	0.555368443059
9.0	0.444615460635	0.555384539365
9.1	0.44460075412	0.55539924588
9.2	0.44458731557	0.55541268443
9.3	0.444575050393	0.555424949607
9.4	0.444564041066	0.555435958934
9.5	0.444554103598	0.555445896402
9.6	0.444545148544	0.555454851456
9.7	0.444537078531	0.555462921469
9.8	0.444529784807	0.555470215193
9.9	0.444523143791	0.555476856209
10.0	0.444517013624	0.555482986376
